Start_Date,Total_kWh
2017-09-01,6.3974393939393925
2017-09-02,5.7545111111111105
2017-09-03,4.770558823529412
2017-09-04,5.391083333333336
2017-09-05,5.870492307692308
2017-09-06,5.772487179487181
2017-09-07,4.635052631578946
2017-09-08,6.153932432432434
2017-09-09,5.37582857142857
2017-09-10,6.040967741935483
2017-09-11,5.189124999999999
2017-09-12,5.157848837209301
2017-09-13,6.018926470588235
2017-09-14,6.2838987341772174
2017-09-15,5.709225352112676
2017-09-16,6.536744186046511
2017-09-17,6.2522
2017-09-18,5.832935064935066
2017-09-19,6.36987951807229
2017-09-20,5.535293333333331
2017-09-21,6.229695121951218
2017-09-22,5.67969565217391
2017-09-23,6.552524999999998
2017-09-24,8.043413793103449
2017-09-25,6.677859375000001
2017-09-26,6.2755882352941175
2017-09-27,5.80337313432836
2017-09-28,5.472514705882354
2017-09-29,6.821813333333334
2017-09-30,6.700432432432432
2017-10-01,7.834899999999999
2017-10-02,6.221571428571428
2017-10-03,6.277414634146341
2017-10-04,5.635871794871794
2017-10-05,6.016369230769231
2017-10-06,5.731654761904761
2017-10-07,7.782523809523809
2017-10-08,5.649133333333334
2017-10-09,7.269373333333334
2017-10-10,5.242138461538462
2017-10-11,6.447466666666665
2017-10-12,5.500625
2017-10-13,5.979521739130434
2017-10-14,7.046432432432433
2017-10-15,7.869120000000001
2017-10-16,6.472164556962029
2017-10-17,6.292063492063494
2017-10-18,5.983894736842106
2017-10-19,5.5944941176470575
2017-10-20,5.377104166666666
2017-10-21,7.02741304347826
2017-10-22,8.86028125
2017-10-23,6.472766233766232
2017-10-24,6.636579710144927
2017-10-25,6.076559139784946
2017-10-26,5.199084337349397
2017-10-27,6.488162500000001
2017-10-28,6.1625
2017-10-29,6.955673913043478
2017-10-30,6.854980582524273
2017-10-31,5.760933333333334
2017-11-01,5.54656976744186
2017-11-02,5.695799999999998
2017-11-03,6.838121621621621
2017-11-04,6.768727272727272
2017-11-05,6.251205882352942
2017-11-06,7.355048076923078
2017-11-07,5.299510416666667
2017-11-08,6.79278888888889
2017-11-09,6.510678160919538
2017-11-10,6.475436781609194
2017-11-11,7.890415094339624
2017-11-12,7.832326086956521
2017-11-13,6.662968421052632
2017-11-14,4.794854961832064
2017-11-15,6.6948453608247425
2017-11-16,6.088011764705881
2017-11-17,7.602891891891894
2017-11-18,7.724666666666668
2017-11-19,8.044717948717949
2017-11-20,7.850362318840579
2017-11-21,7.06629113924051
2017-11-22,7.452405063291138
2017-11-23,6.972079545454547
2017-11-24,6.950395833333336
2017-11-25,7.052489361702127
2017-11-26,7.512942857142858
2017-11-27,6.594988505747125
2017-11-28,6.6543863636363625
2017-11-29,8.254222222222223
2017-11-30,6.89874418604651
2017-12-01,3.393214285714286
2017-12-02,7.460744680851061
2017-12-03,8.70255882352941
2017-12-04,7.679485714285712
2017-12-05,7.1146404494382045
2017-12-06,6.429511904761905
2017-12-07,7.126634408602149
2017-12-08,6.798642857142856
2017-12-09,7.260085106382978
2017-12-10,9.743093023255817
2017-12-11,6.24975641025641
2017-12-12,8.534636363636363
2017-12-13,8.528659999999999
2017-12-14,6.978655555555555
2017-12-15,8.477226190476191
2017-12-16,7.390093023255813
2017-12-17,6.830441176470586
2017-12-18,6.358144329896907
2017-12-19,6.649722222222226
2017-12-20,5.334302752293579
2017-12-21,6.171626168224299
2017-12-22,6.496530864197531
2017-12-23,6.888702127659575
2017-12-24,5.922406249999998
2017-12-25,9.605916666666667
2017-12-26,7.674655172413792
2017-12-27,8.25677272727273
2017-12-28,5.534742424242422
2017-12-29,6.244841269841271
2017-12-30,7.817514285714286
2017-12-31,7.042103448275862
2018-01-01,6.88621052631579
2018-01-02,9.042250000000001
2018-01-03,7.466250000000001
2018-01-04,5.851493506493506
2018-01-05,7.112028571428574
2018-01-06,7.283785714285713
2018-01-07,7.583124999999999
2018-01-08,6.896838383838383
2018-01-09,6.626329787234043
2018-01-10,6.150101123595502
2018-01-11,6.656835051546394
2018-01-12,6.456273684210529
2018-01-13,7.895939393939397
2018-01-14,6.891945945945945
2018-01-15,7.01811235955056
2018-01-16,6.300899999999998
2018-01-17,7.512522935779817
2018-01-18,7.148085714285714
2018-01-19,7.279354545454548
2018-01-20,7.54428
2018-01-21,8.589027027027027
2018-01-22,6.074907407407405
2018-01-23,7.197525000000001
2018-01-24,7.373505617977528
2018-01-25,6.93516129032258
2018-01-26,6.678947368421052
2018-01-27,7.540211538461538
2018-01-28,7.8171212121212115
2018-01-29,6.539539215686274
2018-01-30,6.749805309734514
2018-01-31,7.657688888888889
2018-02-01,6.480280898876406
2018-02-02,6.552344827586206
2018-02-03,8.559340425531918
2018-02-04,8.20284375
2018-02-05,7.313712643678161
2018-02-06,7.205584415584415
2018-02-07,6.9375
2018-02-08,5.763727272727274
2018-02-09,6.929247058823527
2018-02-10,8.115181818181817
2018-02-11,8.329030303030303
2018-02-12,7.4236666666666675
2018-02-13,6.31090816326531
2018-02-14,7.352380952380954
2018-02-15,6.987953488372094
2018-02-16,7.282088607594936
2018-02-17,8.3581875
2018-02-18,6.9059285714285705
2018-02-19,6.2940000000000005
2018-02-20,7.236582417582413
2018-02-21,6.254694736842104
2018-02-22,6.615957894736841
2018-02-23,6.815202247191013
2018-02-24,5.679666666666667
2018-02-25,7.3256097560975615
2018-02-26,7.512793478260868
2018-02-27,7.17669512195122
2018-02-28,8.680770833333332
2018-03-01,11.001555555555557
2018-03-02,7.985511627906979
2018-03-05,6.7441
2018-03-06,6.696150537634407
2018-03-07,6.86150515463918
